城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
云南,昆明花都海洋世界,,0,145,210,云南·昆明·呈贡区,"102.787514,24.901387",以花卉、海洋为主题的内陆高原海洋世界,FALSE,云南省昆明市呈贡区斗南花花世界
云南,拉市海,3A,3.8,29,210,云南·丽江·玉龙县,"100.145593,26.896784",湿地自然保护区,FALSE,云南省丽江市玉龙县拉市海湿地公园
云南,苍山洗马潭索道,,3.8,114,206,云南·大理·天龙八部影视城,"100.154462,25.686735",体验在山云间穿梭之美，一览苍山美景,FALSE,云南省大理白族自治州大理市苍山景区下三月街天龙八部影视城内
云南,昆明西山龙门景区,4A,3.7,67,200,云南·昆明·西山区,"102.640355,24.964658",瞻仰文化碑林，看满清八旗遗迹,FALSE,云南省昆明市西山区西山公路
云南,滇池索道,4A,0,38,188,云南·昆明·滇池,"102.658903,24.965776",既跨水又越山的索道,FALSE,云南省昆明市滇池旅游度假区湖滨路16号
云南,朱家花园,4A,4.1,18,180,云南·红河·建水县,"102.833826,23.622492",一组规模巨大的清代民居建筑群,FALSE,云南省红河州建水县翰林街16号
云南,锦屏山风景区,,0,24,176,云南·红河·弥勒县,"103.435938,24.476699",花木似锦，山峰连列如屏，世称锦屏,FALSE,红河州弥勒市西三镇锦屏山风景区
云南,望天树景区,4A,4.1,169,170,云南·西双版纳·勐腊县,"101.594904,21.625925",走进望天树，亲近热带雨林,FALSE,云南省勐腊县西双版纳热带雨林国家公园望天树景区
云南,昆明融创海世界,,0,180,158,云南·昆明·昆明融创乐园,"102.659586,25.021597",昆明融创海世界占地面积4万平方米，相当于6个标准足球场，馆内陈设78个展缸，畅游着千余种珍稀海洋生物，梦幻珊瑚花海骄傲绽,FALSE,云南省昆明市西山区碧鸡路2999-1号昆明融创海世界（2号停车场）
云南,天龙八部影视城,3A,3.8,32,152,云南·大理·大理市,"100.155122,25.688114",为拍摄《天龙八部》兴建的拍摄基地,FALSE,云南省大理州大理古城苍山景区下
云南,西部大峡谷温泉,4A,0,76,152,云南·昭通·水富县,"104.377061,28.644863",沉醉在山顶的云雾中，沐浴在升腾的水雾里,FALSE,云南省昭通市水富县金沙江畔
